                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0092,                 3.6545,                 3.6289,                 1.7052,                0.21844,                0.33333,                0.19091,                0.11009,                0.20322,                0.32576,                0.18853,                0.09188,                 1.1878,                 2.4133,                 2.3719,                 1.3094,                 0.0856,                 0.0016,                 0.0016
                      1,                 1.2943,                   2.41,                 1.9002,                 1.2926,                 0.7066,                 0.5291,                0.62358,                0.43187,                0.70534,                0.52273,                0.60221,                0.37992,                0.99598,                 1.4925,                 1.4859,                 1.0671,               0.070218,              0.0032183,              0.0032183
                      2,                 1.0529,                 1.7618,                 1.4364,                 1.1521,                0.68773,                0.62879,                0.66957,                0.45873,                0.66269,                0.60606,                0.66825,                0.42778,                0.99868,                 1.2356,                 1.3867,                 1.0711,               0.054753,              0.0047525,              0.0047525
                      3,                0.96626,                 1.5811,                 1.4836,                 1.0573,                 0.5306,                0.38537,                0.48072,                0.30794,                0.56568,                0.37879,                0.47537,                0.29586,                0.97351,                 1.1341,                 2.1809,                 1.0715,               0.039203,              0.0062025,              0.0062025
                      4,                0.92958,                 1.3535,                 1.7659,                 1.0548,                 0.6176,                0.67295,                0.63675,                 0.4164,                0.60322,                0.65651,                0.61929,                 0.3749,                0.98861,                 1.1464,                 2.2825,                 1.0671,               0.023568,              0.0075684,              0.0075684
                      5,                 0.9096,                 1.3423,                 1.7001,                  1.014,                0.63181,                0.39394,                0.42563,                0.30577,                0.67841,                0.40152,                0.43319,                 0.3061,                0.96458,                 1.2493,                  1.967,                 1.0176,              0.0087625,              0.0087625,              0.0087625
                      6,                 1.0953,                 1.5516,                 1.5066,                  1.031,                0.67377,                0.55303,                0.59326,                0.33984,                0.70174,                0.57576,                0.62576,                0.37725,                 1.3113,                 1.4558,                 2.0063,                 1.0591,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.2111,                  1.546,                 1.7257,                 1.0586,                0.55875,                0.56061,                0.53018,                  0.315,                0.57017,                0.56276,                0.52605,                0.31667,                 1.2546,                 1.3641,                 1.7593,                  1.071,               0.008515,               0.008515,               0.008515
                      8,                0.98629,                 1.3095,                 1.2091,                 1.0354,                0.70953,                0.56061,                0.61251,                0.38278,                 0.6231,                0.62121,                0.61659,                0.38901,                 1.1541,                 1.2311,                 1.4092,                 1.0926,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.0755,                 1.2582,                 1.1097,                 1.0504,                0.58707,                0.65152,                0.58143,                0.38076,                0.59376,                0.66438,                0.58138,                0.35138,                 1.1876,                 1.1724,                 1.3387,                 1.0932,                0.00802,                0.00802,                0.00802
